"","county_desc","site_name","election_dt","site_total_age","age_percent_Age 18 - 25","age_percent_Age 26 - 40","age_percent_Age 41 - 65","age_percent_Age Over 66","age_percent_NA","n_Age 18 - 25","n_Age 26 - 40","n_Age 41 - 65","n_Age Over 66","n_NA","site_total_ethnicity","ethnicity_percent_HISPANIC or LATINO","ethnicity_percent_NOT HISPANIC or NOT LATINO","ethnicity_percent_UNDESIGNATED ETHNICITY","n_HISPANIC or LATINO","n_NOT HISPANIC or NOT LATINO","n_UNDESIGNATED ETHNICITY","site_total","race_percent_ASIAN","race_percent_BLACK or AFRICAN AMERICAN","race_percent_INDIAN AMERICAN or ALASKA NATIVE","race_percent_OTHER","race_percent_TWO or MORE RACES","race_percent_UNDESIGNATED RACE","race_percent_WHITE","race_percent_'UNDESIGNATED","n_ASIAN","n_BLACK or AFRICAN AMERICAN","n_INDIAN AMERICAN or ALASKA NATIVE","n_OTHER","n_TWO or MORE RACES","n_UNDESIGNATED RACE","n_WHITE","n_'UNDESIGNATED","n","sdr_percent","race_percent_NATIVE HAWAIIAN or PACIFIC ISLANDER","n_NATIVE HAWAIIAN or PACIFIC ISLANDER","election"
"1","ALAMANCE","COURT SERVICES","11/08/2016",15252,0.056,0.158,0.495,0.284,0.008,849,2403,7552,4331,117,15252,0.031,0.776,0.193,472,11835,2945,15252,0.005,0.256,0.003,0.018,0.006,0.033,0.679,NA,75,3902,48,275,86,503,10363,NA,515,0.034,NA,NA,"2016-11"
"2","ALAMANCE","HOLLY HILL MALL","11/08/2016",10253,0.099,0.184,0.464,0.24,0.012,1019,1891,4759,2464,120,10253,0.031,0.786,0.183,318,8055,1880,10253,0.01,0.152,0.002,0.023,0.007,0.034,0.772,NA,99,1559,24,238,75,346,7912,NA,426,0.042,NA,NA,"2016-11"
"3","ALAMANCE","KERNODLE SENIOR CENTER","11/08/2016",7209,0.041,0.132,0.471,0.349,0.007,297,950,3399,2513,50,7209,0.018,0.797,0.185,128,5748,1333,7209,0.004,0.261,0.002,0.013,0.004,0.023,0.693,NA,30,1884,14,91,30,164,4996,NA,143,0.02,NA,NA,"2016-11"
"4","ALAMANCE","MEBANE ARTS AND COMMUN ITY CENTER","11/08/2016",7274,0.062,0.191,0.508,0.23,0.009,451,1388,3698,1670,67,7274,0.02,0.774,0.206,146,5630,1498,7274,0.006,0.216,0.004,0.014,0.005,0.044,0.712,NA,41,1570,26,99,40,320,5178,NA,231,0.032,NA,NA,"2016-11"
"5","ALEXANDER","ALEXANDER COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",8980,0.066,0.145,0.478,0.303,0.008,591,1300,4294,2720,75,8980,0.007,0.889,0.103,67,7984,929,8980,0.003,0.048,0.001,0.007,0.001,0.012,0.928,NA,27,434,9,61,7,111,8331,NA,249,0.028,NA,NA,"2016-11"
"6","ALEXANDER","BETHLEHEM COMMUNITY FIRE/RESCUE","11/08/2016",2756,0.053,0.168,0.495,0.277,0.006,147,464,1365,764,16,2756,0.004,0.851,0.145,10,2346,400,2756,0.003,0.006,0,0.004,0.001,0.015,0.971,NA,8,17,1,10,3,42,2675,NA,93,0.034,NA,NA,"2016-11"
"7","ALEXANDER","FMR ENERGY UNITED BUILDING","11/08/2016",766,0.072,0.157,0.486,0.279,0.007,55,120,372,214,5,766,0.016,0.888,0.097,12,680,74,766,NA,0.044,0.003,0.012,0.005,0.004,0.932,NA,NA,34,2,9,4,3,714,NA,33,0.043,NA,NA,"2016-11"
"8","ALLEGHANY","ALLEGHANY COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",3567,0.043,0.108,0.457,0.387,0.006,152,385,1629,1380,21,3567,0.01,0.85,0.141,34,3031,502,3567,0,0.014,0.001,0.003,0.001,0.017,0.964,NA,1,50,3,9,2,62,3440,NA,108,0.03,NA,NA,"2016-11"
"9","ANSON","ANSON COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",5843,0.069,0.151,0.501,0.273,0.006,403,882,2925,1598,35,5843,0.002,0.76,0.238,12,4443,1388,5843,0.002,0.498,0.001,0.003,0.001,0.119,0.377,NA,9,2912,4,16,7,695,2200,NA,187,0.032,NA,NA,"2016-11"
"10","ASHE","ASHE COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",6256,0.052,0.121,0.462,0.358,0.006,324,760,2891,2242,39,6256,0.006,0.868,0.126,39,5429,788,6256,0.002,0.006,0.001,0.006,0.001,0.025,0.96,NA,11,38,5,35,4,155,6008,NA,183,0.029,NA,NA,"2016-11"
"11","ASHE","FLEETWOOD FIRE DEPARTMENT","11/08/2016",596,0.05,0.201,0.505,0.232,0.012,30,120,301,138,7,596,NA,0.852,0.148,NA,508,88,596,NA,0.005,NA,0.003,NA,0.037,0.955,NA,NA,3,NA,2,NA,22,569,NA,15,0.025,NA,NA,"2016-11"
"12","AVERY","AVERY COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",2978,0.055,0.133,0.439,0.348,0.025,165,396,1306,1036,75,2978,0.006,0.849,0.145,19,2528,431,2978,0,0.002,0.002,0.006,0.002,0.019,0.969,NA,1,6,5,17,6,56,2887,NA,137,0.046,NA,NA,"2016-11"
"13","BEAUFORT","AURORA - AURORA COMMUNITY CENTER","11/08/2016",588,0.037,0.08,0.502,0.381,NA,22,47,295,224,NA,588,0.003,0.757,0.24,2,445,141,588,NA,0.457,0.002,0.005,0.002,0.048,0.486,NA,NA,269,1,3,1,28,286,NA,23,0.039,NA,NA,"2016-11"
